fdd,9707698,8953,66,132
fde,9959983,9102,16,38
fdf,9775562,8467,29,49
fdg,9919169,9439,58,84
fea,9837007,9725,87,289
feb,9900058,7973,220,413
fec,9940189,8624,146,305
fed,9692447,11960,150,276
fee,9925116,7883,21,70
fef,9917304,10094,81,186
feg,9738869,9187,191,367
ffa,9703359,9853,119,252
ffb,9872765,9071,35,70
ffc,9757246,9372,174,303
ffd,9995071,8927,139,317
ffe,9989412,9258,310,405
fff,9957582,7706,66,183
ffg,9949796,8431,50,110
fga,9728520,9347,129,168
fgb,9655935,10707,32,104
fgc,9998474,8724,642,991
fgd,9987709,9450,119,281
fge,9805764,10487,156,224
fgf,9849801,7778,172,289
fgg,9974367,10961,67,186
gaa,9956986,7836,59,113
gab,9867733,6440,19,79
gac,9975364,8970,46,100
gad,9936219,7616,114,278
gae,9824332,9697,39,116
gaf,9739048,8055,120,269
gag,9736617,9132,316,441
gba,9629232,8450,7,18
gbb,9963169,10190,11,33
gbc,9910258,8484,80,137
gbd,9894850,7460,100,242
gbe,9858205,8538,22,73
gbf,9947738,8706,142,268
gbg,9845594,10111,256,461
gca,9796123,7003,86,122
gcb,9832441,8016,81,133
gcc,9578615,10186,170,332
gcd,9881214,9350,82,145
gce,9674693,8618,170,314
gcf,9546930,8483,77,196
gcg,9918955,9480,25,89
gda,9702178,7432,96,188
gdb,9983033,7561,67,330
gdc,9956057,7623,93,141
gdd,9953751,8920,37,114
gde,9526119,8225,67,137
gdf,9727394,9270,6,16
gdg,9871703,7893,186,295
gea,9747669,8987,183,336
geb,9999242,8322,95,202
gec,9695845,8572,8,32
ged,9835006,7649,25,59
gee,9911318,8483,69,126
gef,9997918,7499,123,213
geg,9607274,8400,134,278
gfa,9512686,8183,186,308
gfb,9976944,7858,121,285
gfc,9689938,9446,54,114
gfd,9984063,10786,98,296
gfe,9953690,7399,152,424
gff,9798361,9190,174,305
gfg,9794557,10178,9,27
gga,9297276,9614,7,22
ggb,9832715,8660,35,77
ggc,9769406,8655,140,297
ggd,9931356,7910,79,207
gge,9956593,9032,228,361
ggf,9912441,8343,73,172
ggg,9940140,8551,94,191
